train/loss,lr,_timestamp,iter,_step,train/step_loss,_runtime,val/loss,Sample Generation
,,1779558082.565066,1420.0,148,3.280271530151367,299.8749056,,
,,1779558084.0040193,1430.0,149,3.304830551147461,301.3133393,,
,,1779558085.4443393,1440.0,150,3.2766551971435547,302.7536594,,
,,1779558086.8832808,1450.0,151,3.3290963172912598,304.1932454,,
,,1779558088.3199599,1460.0,152,3.278669834136963,305.6341965,,
,,1779558089.7640705,1470.0,153,3.3158011436462402,307.0739004,,
,,1779558091.203117,1480.0,154,3.305722713470459,308.5143811,,
,,1779558092.6448953,1490.0,155,3.3171496391296387,309.9547217,,
3.3165366649627686,0.0008305704108364302,1779558110.6696014,1500.0,156,,327.9794685,3.3590762615203857,
,,1779558110.811752,1500.0,157,3.3141798973083496,328.12178,,
,,1779558112.1944752,1510.0,158,3.309001922607422,329.5037953,,
,,1779558113.5797143,1520.0,159,3.31815767288208,330.8904495,,
,,1779558114.961723,1530.0,160,3.3122386932373047,332.2745849,,
,,1779558116.350851,1540.0,161,3.345777988433838,333.6601713,,
,,1779558117.7412896,1550.0,162,3.29681396484375,335.0513803,,
,,1779558119.1607068,1560.0,163,3.3080086708068848,336.4708671,,
,,1779558120.596676,1570.0,164,3.306046962738037,337.9066002,,
,,1779558122.0313451,1580.0,165,3.3294458389282227,339.3406652,,
,,1779558123.4585135,1590.0,166,3.30734920501709,340.7678334,,
,,1779558124.9016166,1600.0,167,3.3203587532043457,342.2109367,,
,,1779558126.338331,1610.0,168,3.2909936904907227,343.6481888,,
,,1779558127.7736146,1620.0,169,3.341693878173828,345.0829347,,
,,1779558129.2075424,1630.0,170,3.325593948364258,346.5174777,,
,,1779558130.643532,1640.0,171,3.281497001647949,347.9528522,,
,,1779558132.0785122,1650.0,172,3.314089775085449,349.3878321,,
,,1779558133.5143175,1660.0,173,3.2674999237060547,350.824413,,
,,1779558134.9486609,1670.0,174,3.3307318687438965,352.2584937,,
,,1779558136.3795533,1680.0,175,3.3261942863464355,353.6919043,,
,,1779558137.8179433,1690.0,176,3.2786431312561035,355.1277684,,
,,1779558139.2520773,1700.0,177,3.332259178161621,356.5649387,,
,,1779558140.6923277,1710.0,178,3.3081541061401367,358.001987,,
,,1779558142.1256669,1720.0,179,3.312211513519287,359.4354914,,
,,1779558143.5586133,1730.0,180,3.2860283851623535,360.8686783,,
,,1779558144.994269,1740.0,181,3.3323631286621094,362.3040691,,
3.3187360763549805,0.0007708228984017721,1779558163.0213208,1750.0,182,,380.331324,3.3613779544830322,
,,1779558163.1605802,1750.0,183,3.3204236030578613,380.4738035,,
,,1779558164.546335,1760.0,184,3.321180820465088,381.8565023,,
,,1779558165.9520254,1770.0,185,3.292531967163086,383.2617739,,
,,1779558167.3913317,1780.0,186,3.3109521865844727,384.7013643,,
,,1779558168.830758,1790.0,187,3.301006317138672,386.1405229,,
,,1779558170.2699795,1800.0,188,3.3028712272644043,387.5801339,,
,,1779558171.7098157,1810.0,189,3.304293155670166,389.0191359,,
,,1779558173.1489708,1820.0,190,3.329355239868164,390.4582909,,
