_timestamp,Sample Generation,train/loss,train/step_loss,lr,_runtime,_step,val/loss,iter
1779601456.1385832,,,1.3266799449920654,,170.2304062,100,,960.0
1779601457.6350029,,,1.3433181047439575,,171.7287966,101,,970.0
1779601459.1309845,,,1.3070098161697388,,173.2228074,102,,980.0
1779601460.624853,,,1.3280208110809326,,174.7175155,103,,990.0
1779601480.7005095,,1.2640637159347534,,0.0009271396472013282,194.793425,104,1.5070608854293823,1000.0
1779601480.8527243,,,1.3363620042800903,,194.9474589,105,,1000.0
1779601482.3508956,,,1.328754186630249,,196.4427184,106,,1010.0
1779601483.8454685,,,1.298738956451416,,197.9372914,107,,1020.0
1779601485.3399782,,,1.3599276542663574,,199.4323071,108,,1030.0
1779601486.8343334,,,1.3396601676940918,,200.9269332,109,,1040.0
1779601488.3296301,,,1.2987611293792725,,202.4219955,110,,1050.0
1779601489.824636,,,1.314840316772461,,203.9168969,111,,1060.0
1779601491.3186598,,,1.2929890155792236,,205.410971,112,,1070.0
1779601492.812698,,,1.3294436931610107,,206.9053252,113,,1080.0
1779601494.3082848,,,1.2913986444473267,,208.4001075,114,,1090.0
1779601495.8026729,,,1.3413294553756714,,209.8944957,115,,1100.0
1779601497.298104,,,1.3202955722808838,,211.3899269,116,,1110.0
1779601498.7937088,,,1.2822974920272827,,212.8860982,117,,1120.0
1779601500.2895617,,,1.317001461982727,,214.3813848,118,,1130.0
1779601501.784794,,,1.3189059495925903,,215.8771598,119,,1140.0
1779601503.2812886,,,1.279055118560791,,217.3731116,120,,1150.0
1779601504.773442,,,1.3154786825180054,,218.8691854,121,,1160.0
1779601506.272257,,,1.278597354888916,,220.36408,122,,1170.0
1779601507.7662575,,,1.2889204025268555,,221.8591276,123,,1180.0
1779601509.2604744,,,1.2868739366531372,,223.3532977,124,,1190.0
1779601510.7564254,,,1.2648570537567139,,224.848754,125,,1200.0
1779601512.251253,,,1.237947940826416,,226.343076,126,,1210.0
1779601513.7462132,,,1.2786688804626465,,227.8380359,127,,1220.0
1779601515.2415853,,,1.2785358428955078,,229.333408,128,,1230.0
1779601516.736011,,,1.298276424407959,,230.8283382,129,,1240.0
1779601536.7733028,,1.2022596597671509,,0.000883125098683892,250.8700211,130,1.4931906461715698,1250.0
1779601536.9301858,,,1.2804691791534424,,251.024044,131,,1250.0
1779601538.4253812,,,1.269113302230835,,252.5172041,132,,1260.0
1779601539.9194992,,,1.2507874965667725,,254.0118923,133,,1270.0
1779601541.4124684,,,1.270113229751587,,255.5054574,134,,1280.0
1779601542.9081557,,,1.254887580871582,,257.000952,135,,1290.0
1779601544.40494,,,1.2350683212280273,,258.4967627,136,,1300.0
1779601545.9005172,,,1.2641799449920654,,259.9928459,137,,1310.0
1779601547.3967543,,,1.268250584602356,,261.489129,138,,1320.0
1779601548.888097,,,1.2522858381271362,,262.9853878,139,,1330.0
1779601550.3897357,,,1.2559423446655273,,264.4820623,140,,1340.0
1779601551.8848794,,,1.2822673320770264,,265.9767023,141,,1350.0
1779601553.3801434,,,1.2534905672073364,,267.4719662,142,,1360.0
1779601554.8744404,,,1.2455250024795532,,268.9662634,143,,1370.0
1779601556.369898,,,1.255255937576294,,270.4617208,144,,1380.0
1779601557.865554,,,1.2694592475891113,,271.9573772,145,,1390.0
1779601559.3599975,,,1.2458207607269287,,273.4522636,146,,1400.0
1779601560.8548188,,,1.24160897731781,,274.9471572,147,,1410.0
1779601562.3502603,,,1.266883373260498,,276.4420831,148,,1420.0
1779601563.8444974,,,1.2520296573638916,,277.9368148,149,,1430.0
1779601565.3395987,,,1.2375524044036865,,279.4322859,150,,1440.0
1779601566.8359377,,,1.245426058769226,,280.928264,151,,1450.0
1779601568.3297658,,,1.2261154651641846,,282.4236,152,,1460.0
1779601569.826477,,,1.2437527179718018,,283.9186192,153,,1470.0
1779601571.320822,,,1.2515089511871338,,285.4136413,154,,1480.0
1779601572.817339,,,1.2206928730010986,,286.9096669,155,,1490.0
1779601592.899815,,1.1467540264129639,,0.0008305704108364302,306.9922116,156,1.4784255027770996,1500.0
1779601593.0545673,,,1.189260482788086,,307.1463904,157,,1500.0
1779601594.5496852,,,1.2523127794265747,,308.6417272,158,,1510.0
1779601596.0442586,,,1.2067875862121582,,310.1371814,159,,1520.0
1779601597.5350742,,,1.2050888538360596,,311.6321892,160,,1530.0
1779601599.0370867,,,1.2458484172821045,,313.1289097,161,,1540.0
1779601600.5322454,,,1.2183597087860107,,314.6250688,162,,1550.0
1779601602.028728,,,1.206589698791504,,316.120551,163,,1560.0
1779601603.5232089,,,1.2488229274749756,,317.6159873,164,,1570.0
1779601605.0195868,,,1.2363629341125488,,319.1117494,165,,1580.0
1779601606.514075,,,1.1783051490783691,,320.6064382,166,,1590.0
1779601608.0095477,,,1.1961376667022705,,322.1013707,167,,1600.0
1779601609.505086,,,1.1555986404418945,,323.5969088,168,,1610.0
1779601610.9963403,,,1.19956374168396,,325.0929196,169,,1620.0
1779601612.4960794,,,1.2126835584640503,,326.5879023,170,,1630.0
1779601613.9913566,,,1.2001049518585205,,328.0837465,171,,1640.0
1779601615.4876952,,,1.2228050231933594,,329.5800236,172,,1650.0
1779601617.090678,,,1.1642686128616333,,331.182501,173,,1660.0
1779601618.6867194,,,1.1974397897720337,,332.7823006,174,,1670.0
1779601620.2895443,,,1.2029736042022705,,334.3813674,175,,1680.0
1779601621.8892949,,,1.159379243850708,,335.9816375,176,,1690.0
1779601623.4890554,,,1.182733416557312,,337.5814724,177,,1700.0
1779601625.088018,,,1.17620849609375,,339.1803508,178,,1710.0
1779601626.6871345,,,1.2014172077178955,,340.7794614,179,,1720.0
1779601628.2862864,,,1.1386736631393433,,342.3787842,180,,1730.0
1779601629.8863595,,,1.1637158393859863,,343.978684,181,,1740.0
