_timestamp,train/step_loss,val/loss,lr,_step,_runtime,train/loss,Sample Generation,iter
1779610977.1513617,1.2577300071716309,,,200,540.4860655,,,1920.0
1779610979.0528116,1.2902534008026123,,,201,542.3874261,,,1930.0
1779610980.9527247,1.2570786476135254,,,202,544.2875866,,,1940.0
1779610982.850579,1.279311180114746,,,203,546.1853871,,,1950.0
1779610984.7464054,1.303939700126648,,,204,548.0840617,,,1960.0
1779610986.64901,1.2803027629852295,,,205,549.9831052,,,1970.0
1779610988.5491688,1.2821000814437866,,,206,551.8832643,,,1980.0
1779610990.4432628,1.2778749465942383,,,207,553.7819382,,,1990.0
1779611014.4052038,,1.4934628009796143,0.0007054142744895884,208,577.7400015,1.1853448152542114,,2000.0
1779611014.5929117,1.27524733543396,,,209,577.9276993,,,2000.0
1779611016.428348,1.2854002714157104,,,210,579.7629359,,,2010.0
1779611018.265807,1.2591772079467773,,,211,581.6004075,,,2020.0
1779611020.1026254,1.2965149879455566,,,212,583.4370266,,,2030.0
1779611021.942253,1.2388124465942383,,,213,585.2773423,,,2040.0
1779611023.7869492,1.2806711196899414,,,214,587.1210445,,,2050.0
1779611025.6273437,1.2624589204788208,,,215,588.9619999,,,2060.0
1779611027.556617,1.271383285522461,,,216,590.891559,,,2070.0
1779611029.5300431,1.283781886100769,,,217,592.8646843,,,2080.0
1779611031.5023334,1.2480237483978271,,,218,594.8364287,,,2090.0
1779611033.4712923,1.268829584121704,,,219,596.8058678,,,2100.0
1779611035.4422677,1.2749061584472656,,,220,598.7763629,,,2110.0
1779611037.4206662,1.2812409400939941,,,221,600.7552648,,,2120.0
1779611039.3952582,1.282677173614502,,,222,602.7299457,,,2130.0
1779611041.3681538,1.242633581161499,,,223,604.7032932,,,2140.0
1779611043.3383524,1.253373146057129,,,224,606.6730443,,,2150.0
1779611045.3055472,1.2658811807632446,,,225,608.6400021,,,2160.0
1779611047.275758,1.2623292207717896,,,226,610.6098533,,,2170.0
1779611049.2439651,1.2535626888275146,,,227,612.5780606,,,2180.0
1779611051.2142353,1.261348009109497,,,228,614.5483308,,,2190.0
1779611053.1871767,1.2348721027374268,,,229,616.5212721,,,2200.0
1779611055.155755,1.2415488958358765,,,230,618.4905634,,,2210.0
1779611057.1274507,1.2760875225067139,,,231,620.461546,,,2220.0
1779611059.0955446,1.286455750465393,,,232,622.42964,,,2230.0
1779611061.0663686,1.2323867082595825,,,233,624.4004638,,,2240.0
1779611084.7864718,,1.4811519384384155,0.0006360213829156177,234,648.12105,1.1510181427001953,,2250.0
1779611084.9748704,1.2376813888549805,,,235,648.3094735,,,2250.0
1779611086.7998228,1.259157657623291,,,236,650.1346052,,,2260.0
1779611088.6258364,1.2363319396972656,,,237,651.9604357,,,2270.0
1779611090.4576397,1.2596845626831055,,,238,653.791735,,,2280.0
1779611092.2951667,1.2403314113616943,,,239,655.6296492,,,2290.0
1779611094.2462623,1.2432576417922974,,,240,657.5807899,,,2300.0
1779611096.203441,1.2591780424118042,,,241,659.5381335,,,2310.0
