val/loss,_timestamp,train/step_loss,Sample Generation,lr,_step,train/loss,iter,_runtime
,1779607746.44953,1.4673428535461426,,,76,,730.0,228.5883893
,1779607748.5932474,1.457529067993164,,,77,,740.0,230.7260129
1.5695664882659912,1779607775.8446214,,,0.0009614856803571157,78,1.3521124124526978,750.0,257.9774162
,1779607776.0583358,1.427032709121704,,,79,,750.0,258.1911463
,1779607778.1382377,1.4168823957443237,,,80,,760.0,260.2705281
,1779607780.2200103,1.4203410148620605,,,81,,770.0,262.353301
,1779607782.3085988,1.4256715774536133,,,82,,780.0,264.4414017
,1779607784.3954115,1.4057245254516602,,,83,,790.0,266.5282326
,1779607786.6659095,1.417315125465393,,,84,,800.0,268.7992021
,1779607788.8199809,1.4439798593521118,,,85,,810.0,270.9532764
,1779607790.9798644,1.357783555984497,,,86,,820.0,273.1125297
,1779607793.1381912,1.3744502067565918,,,87,,830.0,275.2704815
,1779607795.2924683,1.3831286430358887,,,88,,840.0,277.4247588
,1779607797.4516537,1.3772718906402588,,,89,,850.0,279.5844501
,1779607799.6114893,1.3731051683425903,,,90,,860.0,281.7446435
,1779607801.7745395,1.35794198513031,,,91,,870.0,283.9068299
,1779607803.9345334,1.3475456237792969,,,92,,880.0,286.0673371
,1779607806.0922272,1.3725390434265137,,,93,,890.0,288.2245178
,1779607808.2561388,1.3822318315505981,,,94,,900.0,290.3896508
,1779607810.418633,1.3615398406982422,,,95,,910.0,292.5514305
,1779607812.5822628,1.3574104309082031,,,96,,920.0,294.7155044
,1779607814.7486343,1.3737679719924927,,,97,,930.0,296.8818905
,1779607816.9075687,1.324488878250122,,,98,,940.0,299.0403634
,1779607819.0713673,1.3540222644805908,,,99,,950.0,301.2036577
,1779607821.2298636,1.3258607387542725,,,100,,960.0,303.3666947
,1779607823.3996286,1.3432414531707764,,,101,,970.0,305.5322895
,1779607825.5632055,1.3117396831512451,,,102,,980.0,307.6962763
,1779607827.7274084,1.3239126205444336,,,103,,990.0,309.8603345
1.5070265531539917,1779607855.2459142,,,0.0009271396472013282,104,1.2667697668075562,1000.0,337.3786792
,1779607855.4643831,1.3348116874694824,,,105,,1000.0,337.5966737
,1779607857.5815148,1.3259021043777466,,,106,,1010.0,339.7190157
,1779607859.7142148,1.3048717975616455,,,107,,1020.0,341.8471338
,1779607861.8425379,1.3657939434051514,,,108,,1030.0,343.9754539
,1779607863.9743218,1.3412028551101685,,,109,,1040.0,346.1092529
,1779607866.1072495,1.305394172668457,,,110,,1050.0,348.2399735
,1779607868.2368214,1.322138786315918,,,111,,1060.0,350.3696186
,1779607870.3705976,1.292909860610962,,,112,,1070.0,352.5032712
,1779607872.5039132,1.3343790769577026,,,113,,1080.0,354.6367097
,1779607874.6351945,1.2864423990249634,,,114,,1090.0,356.76811
,1779607876.76782,1.3443448543548584,,,115,,1100.0,358.9004247
,1779607878.898022,1.325402021408081,,,116,,1110.0,361.0308201
,1779607881.0317738,1.2875077724456787,,,117,,1120.0,363.1648932
,1779607883.1637335,1.314963459968567,,,118,,1130.0,365.2960239
,1779607885.2980795,1.3202906847000122,,,119,,1140.0,367.4303701
,1779607887.4938831,1.2884703874588013,,,120,,1150.0,369.6266797
,1779607889.645226,1.313359260559082,,,121,,1160.0,371.7782919
,1779607891.9153206,1.292694330215454,,,122,,1170.0,374.0503169
,1779607894.1275585,1.2870688438415527,,,123,,1180.0,376.2604537
,1779607896.262829,1.2904105186462402,,,124,,1190.0,378.3957377
,1779607898.4065018,1.2710843086242676,,,125,,1200.0,380.5391354
,1779607900.5467558,1.2423609495162964,,,126,,1210.0,382.6796419
,1779607902.688433,1.2855210304260254,,,127,,1220.0,384.8207234
,1779607904.8393924,1.2823092937469482,,,128,,1230.0,386.9716831
,1779607906.9897265,1.299198865890503,,,129,,1240.0,389.123019
1.4940688610076904,1779607934.579129,,,0.000883125098683892,130,1.200768232345581,1250.0,416.7121946
,1779607934.7995203,1.2725999355316162,,,131,,1250.0,416.932737
,1779607936.93599,1.271416187286377,,,132,,1260.0,419.0682805
,1779607939.07449,1.259852409362793,,,133,,1270.0,421.2072839
,1779607941.2224283,1.2644143104553223,,,134,,1280.0,423.3547189
,1779607943.364129,1.2588391304016113,,,135,,1290.0,425.4964195
,1779607945.5070138,1.2438249588012695,,,136,,1300.0,427.6398093
,1779607947.650741,1.2730486392974854,,,137,,1310.0,429.7830314
,1779607949.9201462,1.2683730125427246,,,138,,1320.0,432.0530606
,1779607952.0626256,1.2536649703979492,,,139,,1330.0,434.1957418
,1779607954.2148423,1.255934476852417,,,140,,1340.0,436.3475214
,1779607956.3640013,1.2849448919296265,,,141,,1350.0,438.4962918
,1779607958.6145036,1.2636635303497314,,,142,,1360.0,440.7471075
,1779607960.8619869,1.2571306228637695,,,143,,1370.0,442.9947806
,1779607963.11268,1.246789813041687,,,144,,1380.0,445.2453698
,1779607965.3596623,1.2659733295440674,,,145,,1390.0,447.4919529
,1779607967.6039488,1.2425367832183838,,,146,,1400.0,449.7362392
,1779607969.851483,1.2406302690505981,,,147,,1410.0,451.9837737
,1779607972.099399,1.2691526412963867,,,148,,1420.0,454.232464
,1779607974.3423686,1.2464375495910645,,,149,,1430.0,456.4752285
,1779607976.5866249,1.247330904006958,,,150,,1440.0,458.7189152
,1779607978.8268285,1.240909457206726,,,151,,1450.0,460.959119
,1779607981.071289,1.2246322631835938,,,152,,1460.0,463.2035795
,1779607983.3168595,1.2380603551864624,,,153,,1470.0,465.4501429
,1779607985.5537484,1.2549192905426025,,,154,,1480.0,467.69016
,1779607987.795343,1.226623773574829,,,155,,1490.0,469.9282818
1.4849402904510498,1779608015.1106122,,,0.0008305704108364302,156,1.1504886150360107,1500.0,497.2441259
,1779608015.3136427,1.1953864097595215,,,157,,1500.0,497.4526455
,1779608017.5720723,1.2468914985656738,,,158,,1510.0,499.7043626
,1779608019.7424119,1.202862024307251,,,159,,1520.0,501.8753587
,1779608021.9105513,1.2054674625396729,,,160,,1530.0,504.0514642
,1779608024.0915387,1.2460523843765259,,,161,,1540.0,506.2238292
,1779608026.263364,1.2205853462219238,,,162,,1550.0,508.396654
,1779608028.431474,1.2061808109283447,,,163,,1560.0,510.5693152
,1779608030.6133933,1.2559375762939453,,,164,,1570.0,512.7464852
,1779608032.7935286,1.2375853061676025,,,165,,1580.0,514.9258191
,1779608034.9689906,1.1835112571716309,,,166,,1590.0,517.1017848
,1779608037.148641,1.1947075128555298,,,167,,1600.0,519.2809316
,1779608039.3237522,1.1558189392089844,,,168,,1610.0,521.4560427
,1779608041.5002909,1.2051072120666504,,,169,,1620.0,523.6325814
,1779608043.6802554,1.210442066192627,,,170,,1630.0,525.8136246
,1779608045.8544815,1.1998155117034912,,,171,,1640.0,527.9881844
,1779608048.0311003,1.2220112085342407,,,172,,1650.0,530.168205
,1779608050.2122698,1.166230320930481,,,173,,1660.0,532.3451147
,1779608052.3951418,1.1999017000198364,,,174,,1670.0,534.5278739
,1779608054.573036,1.2078120708465576,,,175,,1680.0,536.7061778
,1779608056.7521036,1.1570000648498535,,,176,,1690.0,538.885058
,1779608058.9325192,1.1785743236541748,,,177,,1700.0,541.065315
,1779608061.118125,1.1751601696014404,,,178,,1710.0,543.2509216
,1779608063.299532,1.2001821994781494,,,179,,1720.0,545.4323034
,1779608065.4839864,1.1416161060333252,,,180,,1730.0,547.6167841
,1779608067.6651952,1.1694351434707642,,,181,,1740.0,549.8007656
1.474106788635254,1779608094.9339557,,,0.0007708228984017721,182,1.1028859615325928,1750.0,577.0719854
,1779608095.1453326,1.1831724643707275,,,183,,1750.0,577.2787801
,1779608097.3321428,1.1772207021713257,,,184,,1760.0,579.4650891
,1779608099.5880814,1.1741089820861816,,,185,,1770.0,581.7213971
,1779608101.7701066,1.1764883995056152,,,186,,1780.0,583.9042434
,1779608103.9615207,1.163623332977295,,,187,,1790.0,586.0948105
,1779608106.1510627,1.1799936294555664,,,188,,1800.0,588.2846673
,1779608108.3391378,1.1609625816345215,,,189,,1810.0,590.4718151
,1779608110.5216303,1.1676158905029297,,,190,,1820.0,592.6539208
,1779608112.7069588,1.1507036685943604,,,191,,1830.0,594.8392494
,1779608114.8868248,1.1392258405685425,,,192,,1840.0,597.0202073
,1779608117.0719242,1.1824204921722412,,,193,,1850.0,599.204749
,1779608119.2512658,1.202880620956421,,,194,,1860.0,601.3845565
,1779608121.4368532,1.1831274032592773,,,195,,1870.0,603.5696661
,1779608123.6160905,1.186939001083374,,,196,,1880.0,605.749033
,1779608125.8008647,1.1687803268432617,,,197,,1890.0,607.9341543
,1779608127.9816375,1.1455790996551514,,,198,,1900.0,610.1172736
,1779608130.1643543,1.1488873958587646,,,199,,1910.0,612.2973475
,1779608132.346485,1.1315280199050903,,,200,,1920.0,614.4787756
,1779608134.5237658,1.156822919845581,,,201,,1930.0,616.6568336
