_timestamp,train/step_loss,Sample Generation,lr,_step,iter,_runtime,val/loss,train/loss
1779604232.3904426,1.149869441986084,,,160,1530.0,458.894083,,
1779604234.2678607,1.1381434202194214,,,161,1540.0,460.7714858,,
1779604236.1428878,1.1634635925292969,,,162,1550.0,462.6459547,,
1779604238.0219162,1.1758071184158325,,,163,1560.0,464.5259342,,
1779604239.892784,1.104857325553894,,,164,1570.0,466.3994799,,
1779604241.7715316,1.1387304067611694,,,165,1580.0,468.2781368,,
1779604243.6508203,1.1429696083068848,,,166,1590.0,470.1538872,,
1779604245.528442,1.1031241416931152,,,167,1600.0,472.0315086,,
1779604247.4991238,1.129980206489563,,,168,1610.0,474.003048,,
1779604249.4775083,1.1506102085113525,,,169,1620.0,475.9805752,,
1779604251.4590912,1.1319092512130737,,,170,1630.0,477.962158,,
1779604253.4378378,1.1339043378829956,,,171,1640.0,479.9414091,,
1779604255.4220326,1.1093432903289795,,,172,1650.0,481.9250995,,
1779604257.4003208,1.1241194009780884,,,173,1660.0,483.9033875,,
1779604259.3693748,1.149043083190918,,,174,1670.0,485.8730796,,
1779604261.348642,1.1215602159500122,,,175,1680.0,487.8517089,,
1779604263.3220901,1.1075751781463623,,,176,1690.0,489.8257757,,
1779604265.2921245,1.1308372020721436,,,177,1700.0,491.7983701,,
1779604267.267406,1.136319875717163,,,178,1710.0,493.7711686,,
1779604269.138903,1.1170227527618408,,,179,1720.0,495.6424777,,
1779604271.001797,1.1012297868728638,,,180,1730.0,497.5056541,,
1779604272.8909602,1.1247179508209229,,,181,1740.0,499.3945178,,
1779604298.71573,,,0.0007708228984017721,182,1750.0,525.2193137,1.4803277254104614,1.0267729759216309
1779604298.9053853,1.138734221458435,,,183,1750.0,525.408452,,
1779604300.741929,1.116758108139038,,,184,1760.0,527.2459176,,
1779604302.5809443,1.118430495262146,,,185,1770.0,529.0845276,,
1779604304.4202352,1.0991268157958984,,,186,1780.0,530.923302,,
1779604306.2621305,1.113255262374878,,,187,1790.0,532.7661969,,
1779604308.1062405,1.1105422973632812,,,188,1800.0,534.6098116,,
1779604310.0968747,1.096334457397461,,,189,1810.0,536.605466,,
1779604312.1124005,1.1021840572357178,,,190,1820.0,538.6161559,,
1779604314.1162608,1.1080747842788696,,,191,1830.0,540.6204861,,
1779604316.122436,1.0954214334487915,,,192,1840.0,542.6258392,,
1779604317.9594374,1.1161671876907349,,,193,1850.0,544.462504,,
1779604319.8586268,1.1422111988067627,,,194,1860.0,546.3616937,,
1779604321.6510305,1.1064833402633667,,,195,1870.0,548.1546703,,
1779604323.5334756,1.0826361179351807,,,196,1880.0,550.0381706,,
1779604325.4266703,1.0850095748901367,,,197,1890.0,551.9297371,,
1779604327.393668,1.1023560762405396,,,198,1900.0,553.8967346,,
1779604329.361032,1.0617990493774414,,,199,1910.0,555.8665196,,
1779604331.3195953,1.0899529457092285,,,200,1920.0,557.8231662,,
1779604333.2727365,1.065666913986206,,,201,1930.0,559.7813466,,
1779604335.0726645,1.0704619884490967,,,202,1940.0,561.5757314,,
1779604336.9623575,1.0581603050231934,,,203,1950.0,563.4654243,,
1779604338.7748528,1.0462218523025513,,,204,1960.0,565.2779196,,
1779604340.6153908,1.0762516260147095,,,205,1970.0,567.1189732,,
1779604342.6303048,1.065524935722351,,,206,1980.0,569.133939,,
1779604344.5527618,1.0677990913391113,,,207,1990.0,571.0558286,,
1779604370.5543976,,,0.0007054142744895884,208,2000.0,597.0579807,1.4911733865737915,0.9803573489189148
1779604370.7237408,1.0692099332809448,,,209,2000.0,597.2268077,,
1779604372.532353,1.0763593912124634,,,210,2010.0,599.0362174,,
1779604374.4004064,1.0759011507034302,,,211,2020.0,600.9034731,,
1779604376.3142633,1.0657165050506592,,,212,2030.0,602.8228837,,
1779604378.2364068,1.080610752105713,,,213,2040.0,604.7394735,,
1779604380.1505296,1.0500386953353882,,,214,2050.0,606.6554132,,
1779604382.0704963,1.069925308227539,,,215,2060.0,608.5740216,,
1779604383.9880924,1.0616991519927979,,,216,2070.0,610.4916699,,
1779604385.9006093,1.0711114406585693,,,217,2080.0,612.4041876,,
1779604387.811618,1.0509636402130127,,,218,2090.0,614.3146848,,
1779604389.726056,1.0639939308166504,,,219,2100.0,616.2296399,,
1779604391.6440382,1.0727514028549194,,,220,2110.0,618.1480893,,
1779604393.5496082,1.0760804414749146,,,221,2120.0,620.0605715,,
1779604395.468196,1.0648646354675293,,,222,2130.0,621.9728754,,
1779604397.380402,1.0544228553771973,,,223,2140.0,623.8866364,,
1779604399.295088,1.058518648147583,,,224,2150.0,625.8027613,,
1779604401.2052598,1.0848407745361328,,,225,2160.0,627.7091852,,
1779604403.120499,1.0476081371307373,,,226,2170.0,629.6251076,,
1779604405.0378413,1.0519530773162842,,,227,2180.0,631.5409083,,
1779604406.9531734,1.0336707830429077,,,228,2190.0,633.4562404,,
1779604408.8626032,1.0506813526153564,,,229,2200.0,635.3663008,,
1779604410.7771735,1.085914134979248,,,230,2210.0,637.2808079,,
1779604412.6889932,1.0363171100616455,,,231,2220.0,639.1928349,,
1779604414.6048326,1.0185601711273193,,,232,2230.0,641.1078996,,
1779604416.5190935,1.0217915773391724,,,233,2240.0,643.0229381,,
1779604442.264135,,,0.0006360213829156177,234,2250.0,668.7682205,1.493320107460022,0.9294424653053284
1779604442.4627311,1.0251169204711914,,,235,2250.0,668.9657977,,
1779604444.3784707,1.0594358444213867,,,236,2260.0,670.8820016,,
1779604446.2924938,1.0626633167266846,,,237,2270.0,672.7955607,,
1779604448.2096875,1.0276373624801636,,,238,2280.0,674.7132588,,
1779604450.129015,1.021578073501587,,,239,2290.0,676.6325878,,
1779604452.0494359,1.0233991146087646,,,240,2300.0,678.5525027,,
1779604453.9676645,1.0472391843795776,,,241,2310.0,680.471278,,
1779604455.8877048,1.031632423400879,,,242,2320.0,682.3916854,,
1779604457.811078,1.0272576808929443,,,243,2330.0,684.3141449,,
1779604459.7367115,1.0326534509658813,,,244,2340.0,686.240426,,
1779604461.655378,1.0432608127593994,,,245,2350.0,688.1584449,,
1779604463.573785,1.0136935710906982,,,246,2360.0,690.0773585,,
1779604465.4908898,1.0277557373046875,,,247,2370.0,691.9949581,,
1779604467.4119604,1.0148993730545044,,,248,2380.0,693.9165582,,
1779604469.3298697,0.9990766048431396,,,249,2390.0,695.834514,,
1779604471.2510054,1.0295181274414062,,,250,2400.0,697.7593576,,
1779604473.1727948,1.0152124166488647,,,251,2410.0,699.6775803,,
1779604475.0887873,0.9928498268127441,,,252,2420.0,701.5918541,,
1779604477.0062456,1.0047385692596436,,,253,2430.0,703.5101041,,
1779604478.9256122,1.0055850744247437,,,254,2440.0,705.4286791,,
1779604480.8441997,1.0080418586730957,,,255,2450.0,707.3478072,,
1779604482.7616904,1.0118684768676758,,,256,2460.0,709.2660673,,
1779604484.6825743,1.012089729309082,,,257,2470.0,711.1856411,,
1779604486.5960894,1.0010101795196533,,,258,2480.0,713.1033174,,
1779604488.5158474,1.0085397958755493,,,259,2490.0,715.0189142,,
1779604514.6325357,,,0.000564423209907245,260,2500.0,741.1360172,1.519403338432312,0.88141930103302
1779604514.8304873,0.9921553134918213,,,261,2500.0,741.3335542,,
1779604516.7340982,1.0056746006011963,,,262,2510.0,743.2371649,,
