val/loss,_timestamp,train/step_loss,_runtime,lr,iter,_step,train/loss,Sample Generation
,1779552086.042239,1.4173634052276611,172.3842725,,740.0,77,,
1.5785366296768188,1779552106.5903778,,192.9340041,0.0009614856803571157,750.0,78,1.3565702438354492,
,1779552106.754309,1.4222108125686646,193.0957995,,750.0,79,,
,1779552108.3244362,1.427366018295288,194.667147,,760.0,80,,
,1779552109.8960795,1.4178783893585205,196.2381167,,770.0,81,,
,1779552111.4657674,1.4041650295257568,197.8086067,,780.0,82,,
,1779552113.037132,1.4081758260726929,199.3791277,,790.0,83,,
,1779552114.6083024,1.4153683185577393,200.949793,,800.0,84,,
,1779552116.1781406,1.393583059310913,202.5196313,,810.0,85,,
,1779552117.747304,1.3963336944580078,204.0891627,,820.0,86,,
,1779552119.3175201,1.381273865699768,205.6595406,,830.0,87,,
,1779552120.8881054,1.3865042924880981,207.2301157,,840.0,88,,
,1779552122.4573858,1.3772130012512207,208.7998778,,850.0,89,,
,1779552124.0282683,1.3733067512512207,210.3705235,,860.0,90,,
,1779552125.599652,1.3802247047424316,211.9416486,,870.0,91,,
,1779552127.170108,1.3551881313323975,213.5115987,,880.0,92,,
,1779552128.735406,1.3705744743347168,215.0821633,,890.0,93,,
,1779552130.3116035,1.3476684093475342,216.653094,,900.0,94,,
,1779552131.8815231,1.3066182136535645,218.2235512,,910.0,95,,
,1779552133.4522066,1.3448214530944824,219.7945107,,920.0,96,,
,1779552135.0237255,1.3479329347610474,221.3652162,,930.0,97,,
,1779552136.594465,1.3345222473144531,222.9359557,,940.0,98,,
,1779552138.1641147,1.3377416133880615,224.5056054,,950.0,99,,
,1779552139.7355864,1.347371220588684,226.0775813,,960.0,100,,
,1779552141.305859,1.3394360542297363,227.6482769,,970.0,101,,
,1779552142.8767207,1.3479125499725342,229.2185514,,980.0,102,,
,1779552144.447163,1.313790202140808,230.7891657,,990.0,103,,
1.5168417692184448,1779552164.9869804,,251.3294606,0.0009271396472013282,1000.0,104,1.2650030851364136,
,1779552165.1501458,1.3441561460494995,251.4921447,,1000.0,105,,
,1779552166.7163124,1.3200064897537231,253.0619582,,1010.0,106,,
,1779552168.2854538,1.2941081523895264,254.6326698,,1020.0,107,,
,1779552169.861107,1.3126298189163208,256.2029823,,1030.0,108,,
,1779552171.4321897,1.3423378467559814,257.7741863,,1040.0,109,,
,1779552173.0039694,1.2746102809906006,259.3459659,,1050.0,110,,
,1779552174.57334,1.3289124965667725,260.9152182,,1060.0,111,,
,1779552176.1439848,1.3134044408798218,262.4854756,,1070.0,112,,
,1779552177.7143943,1.3172401189804077,264.0558849,,1080.0,113,,
,1779552179.2828498,1.3342409133911133,265.6258007,,1090.0,114,,
,1779552180.854427,1.3034526109695435,267.1964343,,1100.0,115,,
,1779552182.4240525,1.279036283493042,268.7661847,,1110.0,116,,
,1779552183.995512,1.2863035202026367,270.3375071,,1120.0,117,,
,1779552185.5665092,1.2884281873703003,271.90853,,1130.0,118,,
,1779552187.1367934,1.2758407592773438,273.4782839,,1140.0,119,,
,1779552188.7031991,1.289396047592163,275.0483207,,1150.0,120,,
,1779552190.276181,1.312565565109253,276.6181791,,1160.0,121,,
,1779552191.8460147,1.2835408449172974,278.1880094,,1170.0,122,,
,1779552193.4163947,1.3026506900787354,279.7578853,,1180.0,123,,
,1779552194.985534,1.2548091411590576,281.3277732,,1190.0,124,,
,1779552196.5572221,1.2802395820617676,282.8993555,,1200.0,125,,
,1779552198.1281767,1.2547131776809692,284.4701772,,1210.0,126,,
,1779552199.697752,1.2860608100891113,286.0392427,,1220.0,127,,
,1779552201.2670972,1.2732150554656982,287.6091834,,1230.0,128,,
,1779552202.8379917,1.291971206665039,289.1799917,,1240.0,129,,
1.495936393737793,1779552223.3812127,,309.723121,0.000883125098683892,1250.0,130,1.1937615871429443,
,1779552223.5441446,1.2740250825881958,309.8861404,,1250.0,131,,
,1779552225.1146235,1.2605515718460083,311.4568608,,1260.0,132,,
,1779552226.6861343,1.2495477199554443,313.0281307,,1270.0,133,,
,1779552228.2551918,1.2379388809204102,314.5970956,,1280.0,134,,
,1779552229.8242738,1.2726093530654907,316.1668481,,1290.0,135,,
,1779552231.3949609,1.289715051651001,317.7364515,,1300.0,136,,
,1779552232.9654386,1.2210805416107178,319.3074694,,1310.0,137,,
,1779552234.535015,1.2882882356643677,320.8775565,,1320.0,138,,
,1779552236.1027923,1.2488653659820557,322.4477805,,1330.0,139,,
,1779552237.6763778,1.288625955581665,324.0186662,,1340.0,140,,
,1779552239.2473476,1.2414655685424805,325.5893042,,1350.0,141,,
,1779552240.8186195,1.259948492050171,327.160616,,1360.0,142,,
,1779552242.3898768,1.241428017616272,328.7318732,,1370.0,143,,
,1779552243.9597821,1.2487461566925049,330.3012728,,1380.0,144,,
,1779552245.5299501,1.2365412712097168,331.8720317,,1390.0,145,,
,1779552247.1004298,1.2426081895828247,333.4419205,,1400.0,146,,
,1779552248.6663153,1.2403850555419922,335.0122425,,1410.0,147,,
,1779552250.2361605,1.255232334136963,336.5830405,,1420.0,148,,
,1779552251.8120942,1.2295933961868286,338.1540909,,1430.0,149,,
,1779552253.3822725,1.2388415336608887,339.7242768,,1440.0,150,,
,1779552254.952836,1.211152195930481,341.2943266,,1450.0,151,,
,1779552256.5240145,1.233520746231079,342.8660138,,1460.0,152,,
,1779552258.0904026,1.2074027061462402,344.4362203,,1470.0,153,,
,1779552259.6623075,1.1955766677856445,346.0037982,,1480.0,154,,
,1779552261.2350924,1.2148648500442505,347.5773095,,1490.0,155,,
1.4857805967330933,1779552281.7841065,,368.1262035,0.0008305704108364302,1500.0,156,1.143642544746399,
,1779552281.9444141,1.208464503288269,368.2895233,,1500.0,157,,
,1779552283.5138752,1.2195658683776855,369.8588374,,1510.0,158,,
,1779552285.0832012,1.2110508680343628,371.4288084,,1520.0,159,,
,1779552286.6561532,1.2472162246704102,372.9984539,,1530.0,160,,
,1779552288.227205,1.1703407764434814,374.5686958,,1540.0,161,,
,1779552289.7972667,1.211220383644104,376.1393683,,1550.0,162,,
,1779552291.3657818,1.187469720840454,377.7094619,,1560.0,163,,
,1779552292.9374945,1.220313549041748,379.2793924,,1570.0,164,,
,1779552294.507938,1.2028875350952148,380.8500588,,1580.0,165,,
,1779552296.078231,1.1722906827926636,382.4204654,,1590.0,166,,
,1779552297.6486845,1.184058427810669,383.9906888,,1600.0,167,,
,1779552299.2165725,1.2210955619812012,385.5618856,,1610.0,168,,
,1779552300.7906604,1.1623820066452026,387.1321509,,1620.0,169,,
,1779552302.361154,1.1930830478668213,388.7026447,,1630.0,170,,
,1779552303.9257064,1.1858391761779785,390.272632,,1640.0,171,,
,1779552305.5018547,1.1690328121185303,391.8438489,,1650.0,172,,
,1779552307.070614,1.1980657577514648,393.4133636,,1660.0,173,,
,1779552308.641961,1.185890555381775,394.9834517,,1670.0,174,,
,1779552310.2127302,1.1894478797912598,396.5542208,,1680.0,175,,
,1779552311.7819421,1.1951494216918945,398.1243979,,1690.0,176,,
,1779552313.353141,1.177588939666748,399.6951789,,1700.0,177,,
,1779552314.9187713,1.171575903892517,401.2654456,,1710.0,178,,
,1779552316.4889755,1.1642560958862305,402.8362548,,1720.0,179,,
,1779552318.0580924,1.1913232803344727,404.4068873,,1730.0,180,,
,1779552319.6350996,1.1562654972076416,405.9775635,,1740.0,181,,
1.466535210609436,1779552340.1680741,,426.5130733,0.0007708228984017721,1750.0,182,1.0938128232955933,
,1779552340.3328578,1.1657445430755615,426.6743484,,1750.0,183,,
,1779552341.9034164,1.1774547100067139,428.2454259,,1760.0,184,,
,1779552343.4740503,1.1882356405258179,429.8160588,,1770.0,185,,
,1779552345.039378,1.1807595491409302,431.3869119,,1780.0,186,,
,1779552346.6158526,1.1821116209030151,432.9583517,,1790.0,187,,
,1779552348.1844335,1.1672680377960205,434.5301579,,1800.0,188,,
,1779552349.759057,1.1470975875854492,436.1005477,,1810.0,189,,
,1779552351.3285792,1.1567778587341309,437.6708038,,1820.0,190,,
,1779552352.899407,1.1565120220184326,439.241258,,1830.0,191,,
,1779552354.4704862,1.1524548530578613,440.8125404,,1840.0,192,,
,1779552356.039198,1.1399328708648682,442.3827056,,1850.0,193,,
